average,units,VG2020 Dry Doug Fir,VG2020 Auto Damper LP,VG2020 Fan + AD,2469E ARC dev natural draft,USStove Auto-Control,Princess Baseline,princess zones updraft gasifier ignitor,princess chimney control,Dauntless insulated 2ft insulated chimney,sirocco baseline dry fir,Sirocco 12 mm holes,average,Percent Change,Percent Change High,Percent Change Low
Emissions Outputs Cut Periods,units,average,average,average,average,average,average,average,average,average,average,average,nan,nan,nan,nan
test_code,,1B,1R1,1R2,2B,2R,3B,3R1,3R2,4R,5B,5R,,,,
time,#units:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ki,,,,,0.1,1.75,,1,0.303,,,0.397,0.71,nan,nan,nan
Kd,,,,,nan,nan,,nan,17.691,,,1.384,9.537,nan,nan,nan
Bin 1,,,,,7871.362,,,,,,,0.001,3935.682,nan,nan,nan
Bin 2,,,,,4137.317,,,,,,,0,2068.659,nan,nan,nan
Bin 3,,,,,2759.623,,,,,,,0,1379.812,nan,nan,nan
Bin 4,,,,,1107.195,,,,,,,0,553.597,nan,nan,nan
Bin 5,,,,,839.031,,,,,,,nan,839.031,nan,nan,nan
Bin 6,,,,,592.065,,,,,,,0,296.033,nan,nan,nan
Bin 7,,,,,67.85,,,,,,,nan,67.85,nan,nan,nan
Bin 8,,,,,15.134,,,,,,,0,7.567,nan,nan,nan
Bin 9,,,,,1.793,,,,,,,0,0.896,nan,nan,nan
Bin 10,,,,,0.427,,,,,,,nan,0.427,nan,nan,nan
Bin 11,,,,,0.196,,,,,,,0,0.098,nan,nan,nan
Bin 12,,,,,0.106,,,,,,,nan,0.106,nan,nan,nan
Bin 13,,,,,0.052,,,,,,,nan,0.052,nan,nan,nan
Bin 14,,,,,0.033,,,,,,,0,0.017,nan,nan,nan
Bin 15,,,,,0.017,,,,,,,nan,0.017,nan,nan,nan
Bin 16,,,,,0.007,,,,,,,nan,0.007,nan,nan,nan
Bin 17,,,,,0.002,,,,,,,nan,0.002,nan,nan,nan
Deadtime (s),,,,,0.152,,,,,,,0,0.076,nan,nan,nan
Temperature (C),,,,,44.202,,,,,,,33.199,38.7,nan,nan,nan
Humidity (%),,,,,nan,,,,,,,nan,nan,nan,nan,nan
Ambient Pressure (kPa),,,,,99.494,,,,,,,99.726,99.61,nan,nan,nan
GravFlo1,,,,,,0,0.02,0.003,0.01,16.848,,,3.376,nan,nan,nan
GravFlo2,,,,,,16.133,15.907,16.105,16.249,16.958,,,16.27,nan,nan,nan
VOC,,,,,,1.452,27.187,5.002,0.696,2.278,,,7.323,nan,nan,nan
CH4,,,,,,-353.033,857.841,326.99,-410.505,-477.462,,,-11.234,nan,nan,nan
CH4temp,,,,,,26.431,30.769,26.78,20.698,23.566,,,25.649,nan,nan,nan
Ctemp1,,,,,,28.588,33.586,28.889,23.133,25.78,,,27.995,nan,nan,nan
Ctemp2,,,,,,28.248,33.241,28.599,22.811,25.409,,,27.662,nan,nan,nan
Ctemp3,,,,,,27.985,32.955,28.409,22.594,25.253,,,27.439,nan,nan,nan
