All Outputs,units,11.14.25,11.17.25,11.18.25,11.19.25,11.20.25,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
deltaP2_L1,Pa,-16.3270350877193,-16.385934065934066,-15.268295454545456,,-18.420279569892475,-16.6,4,1.317,1.55,-15.05,-18.15,-7.934,-18.15--15.05
Lambda_L1,Lambda,3.7093114035087718,3.4429267399267403,3.660117424242424,,2.9399354838709675,3.438,4,0.352,0.414,3.852,3.024,10.239,3.024-3.852
Scale1_L1,Scale,42.0,42.0,42.0,,42.0,42.0,4,0.0,0.0,42.0,42.0,0.0,42.0-42.0
Scale2_L1,Scale,1.0,1.0,1.0,,12.484408602150538,3.871,4,5.742,6.757,10.628,-2.886,148.334,-2.886-10.628
mode1_L1,mode,1.0,1.0,1.0,,0.7188172043010753,0.93,4,0.141,0.166,1.096,0.764,15.161,0.764-1.096
mode2_L1,mode,2.0,2.0,2.0,,1.4376344086021506,1.859,4,0.281,0.331,2.19,1.528,15.116,1.528-2.19
state_press_L1,state,1.0,1.0,1.0,,0.7193548387096774,0.93,4,0.14,0.165,1.095,0.765,15.054,0.765-1.095
Kp1_L1,P,2.0,2.0,2.0,,2.0,2.0,4,0.0,0.0,2.0,2.0,0.0,2.0-2.0
Ki1_L1,I,1.0,1.0,1.0,,1.0,1.0,4,0.0,0.0,1.0,1.0,0.0,1.0-1.0
Kd1_L1,D,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Kp2_L1,P,2.0,2.0,2.0,,2.0,2.0,4,0.0,0.0,2.0,2.0,0.0,2.0-2.0
Ki2_L1,I,1.0,1.0,1.0,,1.0,1.0,4,0.0,0.0,1.0,1.0,0.0,1.0-1.0
TC1_L1,degC,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
TC2_L1,degC,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
TC3_L1,degC,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
TC4_L1,degC,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
Kd2_L1,D,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
press_offset_L1,offset,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Tp_L1,P,10.8,10.8,10.8,,10.8,10.8,4,0.0,0.0,10.8,10.8,0.0,10.8-10.8
Ti_L1,I,0.58,0.58,0.58,,0.58,0.58,4,0.0,0.0,0.58,0.58,0.0,0.58-0.58
Td_L1,D,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Setpointt_L1,degC,500.0,500.0,500.0,,500.0,500.0,4,0.0,0.0,500.0,500.0,0.0,500.0-500.0
temp_control_L1,val,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
temp_auto_L1,temp_auto,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
autoRoutineStage_L1,stage,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
autoTimeCounter_L1,seconds,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
PrimaryFlow_L1,SLPM,5994.0,5994.0,5994.0,,5994.0,5994.0,4,0.0,0.0,5994.0,5994.0,0.0,5994.0-5994.0
SecondaryFlow_L1,SLPM,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
TotalFlow_L1,SLPM,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
SenO2Percent_L1,%,13.647612351542069,12.91644979435473,13.212475212274835,,11.952863026819367,12.932,4,0.719,0.846,13.778,12.086,5.56,12.086-13.778
PWM1_lp,10_bit_PWM,80.0,303.4904111069094,340.57722925376555,,5.9337227901801235,182.5,4,164.63,193.717,376.217,-11.217,90.208,-11.217-376.217
PWM2_lp,10_bit_PWM,1000.0,1000.0,1000.0,,12.657347520689894,753.164,4,493.671,580.894,1334.058,172.27,65.546,172.27-1334.058
PWM3_lp,14_bit_PWM,1098.427808942868,1074.0092377505266,1096.4097130748526,,898.4092774184575,1041.814,4,96.241,113.245,1155.059,928.569,9.238,928.569-1155.059
Flow1_lp,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow2_lp,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow3_lp,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow4_lp,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow5_lp,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow6_lp,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
STC1_lp,degC,257.28495125537825,243.3712927448544,291.3471456388523,,288.78387509562555,270.197,4,23.658,27.838,298.035,242.359,8.756,242.359-298.035
STC2_lp,degC,347.5664974674582,329.3791469936794,420.6886862149934,,382.42182836080394,370.014,4,40.319,47.443,417.457,322.571,10.897,322.571-417.457
STC3_lp,degC,384.66862915963185,369.13964129436556,436.0665082183151,,392.6746088045066,395.637,4,28.669,33.734,429.371,361.903,7.246,361.903-429.371
STC4_lp,degC,251.75804204564022,220.07027119010317,272.9268363782143,,265.1326503929341,252.472,4,23.303,27.42,279.892,225.052,9.23,225.052-279.892
dateobjects_L1,date,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
deltaP1_lp,Pa,0.019553401230869776,-0.03632542812381827,-0.050635702422541666,,-0.04850406843313165,-0.029,4,0.033,0.039,0.01,-0.068,-113.793,-0.068-0.01
deltaP2_lp,Pa,-12.337032841348512,-12.307875857598185,-14.483696237328905,,-15.09757006745949,-13.557,4,1.447,1.703,-11.854,-15.26,-10.673,-15.26--11.854
Lambda_lp,Lambda,4.249065955013344,4.177828858516557,3.8477864956188075,,4.2394491967452534,4.129,4,0.19,0.224,4.353,3.905,4.602,3.905-4.353
