20260610 12:42:00,36,4003,-1.64,693,2,0.013,18.75,17.28,59.6,0.03,-0.03,18,21.18,-194,16.70,18.90,18.68,18.95,17.12,18.38,nan,nan,nan,-50.00,nan,18.62,-0.397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,575.035,0.326
20260610 12:42:01,37,4003,-1.46,696,6,0.011,18.75,17.28,59.6,0.03,-0.03,18,21.27,-194,16.80,18.91,18.68,18.96,17.06,18.19,nan,nan,nan,-50.00,nan,18.44,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,578.002,0.326
20260610 12:42:02,38,4003,-1.46,696,4,0.013,18.72,17.25,59.6,0.03,-0.03,18,21.18,-206,16.80,18.90,18.67,18.95,17.12,18.19,nan,nan,nan,-50.19,nan,18.44,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,575.035,0.326
20260610 12:42:03,39,4003,-1.46,699,2,0.005,18.72,17.25,59.7,0.03,-0.03,18,21.27,-206,16.80,18.90,18.68,18.95,17.12,18.19,nan,nan,nan,-50.19,nan,18.38,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,572.661,0.326
20260610 12:42:04,40,4003,-1.27,701,3,0.007,18.72,17.28,59.7,0.03,-0.03,18,21.18,-206,16.80,18.91,18.68,18.95,17.12,18.19,nan,nan,nan,-49.94,nan,18.44,-0.397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,575.628,0.326
20260610 12:42:05,41,4003,-1.27,695,2,0.005,18.72,17.25,59.7,0.03,-0.03,18,21.18,-206,16.80,18.91,18.68,18.96,17.06,18.38,nan,nan,nan,-50.00,nan,18.56,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,579.188,0.326
20260610 12:42:06,42,4003,-1.27,696,4,0.010,18.72,17.25,59.7,0.03,-0.03,18,21.18,-206,16.80,18.91,18.68,18.96,17.12,18.38,nan,nan,nan,-50.00,nan,18.62,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,585.716,0.326
20260610 12:42:07,43,4003,-1.27,699,2,-0.008,18.72,17.25,59.7,0.03,-0.03,18,21.18,-214,16.80,18.91,18.68,18.95,17.31,18.19,nan,nan,nan,-50.12,nan,18.44,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,583.342,0.326
20260610 12:42:08,44,4003,-1.09,701,3,-0.002,18.72,17.28,59.7,0.03,-0.03,18,21.18,-214,16.80,18.91,18.68,18.96,17.19,18.19,nan,nan,nan,-50.19,nan,18.44,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,585.122,0.326
20260610 12:42:09,45,4003,-1.09,701,4,0.010,18.72,17.28,59.7,0.03,-0.03,18,21.27,-214,16.80,18.93,18.69,18.97,17.12,18.19,nan,nan,nan,-50.19,nan,18.62,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,588.089,0.326
20260610 12:42:10,46,4003,-1.09,706,2,-0.013,18.72,17.28,59.8,0.03,-0.03,18,21.18,-214,16.80,18.92,18.69,18.96,17.19,18.19,nan,nan,nan,-50.00,nan,18.62,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,586.309,0.326
