Energy Outputs,units,3.21.23,3.22.23,3.23.23,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
EFmass_CO_test,g/kg,102.44884758577959,157.78722334086973,136.31314898671667,132.183,3,27.899,47.034,179.217,85.149,21.106,179.217-85.149
EFmass_COhi_test,g/kg,121.52906745219943,181.39817209548121,169.45160676266323,157.46,3,31.685,53.416,210.876,104.044,20.123,210.876-104.044
EFmass_CO2_test,g/kg,1341.4528351067036,1254.5038198627933,1288.2444129483504,1294.734,3,43.836,73.901,1368.635,1220.833,3.386,1368.635-1220.833
EFmass_CO2hi_test,g/kg,1311.473524991699,1217.4057172319372,1236.1764541222335,1255.019,3,49.784,83.929,1338.948,1171.09,3.967,1338.948-1171.09
EFmass_PM_test,mg/kg,4746.681614896528,7665.302130280215,15802.206030711812,9404.73,3,5729.342,9658.837,19063.567,-254.107,60.92,19063.567--254.107
EFmass_dry_CO_test,g/kg,124.93761900704835,192.42344309861997,166.2355475447771,161.199,3,34.024,57.36,218.559,103.839,21.107,218.559-103.839
EFmass_dry_COhi_test,g/kg,148.20617981975622,221.21728304327183,206.64830093007959,192.024,3,38.64,65.141,257.165,126.883,20.122,257.165-126.883
EFmass_dry_CO2_test,g/kg,1635.9180915935326,1529.8827071497446,1571.0297718882234,1578.944,3,53.459,90.124,1669.068,1488.82,3.386,1669.068-1488.82
EFmass_dry_CO2hi_test,g/kg,1599.3579573069426,1484.6411185755182,1507.5322611246586,1530.51,3,60.712,102.352,1632.862,1428.158,3.967,1632.862-1428.158
EFmass_dry_PM_test,mg/kg,5788.636115727526,9347.92942717098,19270.982964282837,11469.183,3,6987.003,11779.07,23248.253,-309.887,60.92,23248.253--309.887
EFenergy_CO_test,g/MJ,6.63915803161041,10.225340116704636,8.83372101527557,8.566,3,1.808,3.048,11.614,5.518,21.107,11.614-5.518
EFenergy_COhi_test,g/MJ,7.875644316777942,11.755438539011175,10.981245982934684,10.204,3,2.053,3.461,13.665,6.743,20.12,13.665-6.743
EFenergy_CO2_test,g/MJ,86.93233329704502,81.29763591878677,83.48418203281412,83.905,3,2.841,4.79,88.695,79.115,3.386,88.695-79.115
