variable_name,units,average,uncertainty
VOC_postbkg,ppm,1.2230594383809557,0.0
CH4_postbkg,ppm,-677.0482529118136,0.0
CH4temp_postbkg,degC,29.75607321131448,0.0
Ctemp1_postbkg,degC,32.321364392678866,0.0
Ctemp2_postbkg,degC,31.992445923460895,0.0
Ctemp3_postbkg,degC,31.6895840266223,0.0
TC1_postbkg,degC,27.591930116472547,0.0
TC2_postbkg,degC,26.85269550748752,0.0
TC3_postbkg,degC,27.3575540765391,0.0
TC4_postbkg,degC,nan,
TC5_postbkg,degC,nan,
TC6_postbkg,degC,-36.27415973377703,0.0
TC7_postbkg,degC,nan,
TC8_postbkg,degC,nan,
dP2_postbkg,mmH2O,0.2036821963394343,0.0
AmbTemp_postbkg,degC,27.908985024958408,0.0
AmbPres_postbkg,hPa,988.7694841930117,0.0
AmbRH_postbkg,%,35.785357737104825,0.0
AS1_415nm_postbkg,counts,0.0,0.0
AS1_445nm_postbkg,counts,0.0,0.0
AS1_480nm_postbkg,counts,0.0,0.0
AS1_515nm_postbkg,counts,0.0,0.0
AS1_555nm_postbkg,counts,0.0,0.0
AS1_590nm_postbkg,counts,0.0,0.0
AS1_630nm_postbkg,counts,0.0,0.0
AS1_680nm_postbkg,counts,0.0,0.0
AS1_CLEAR_postbkg,counts,0.0,0.0
AS1_NIR_postbkg,counts,0.0,0.0
AS2_415nm_postbkg,counts,0.0,0.0
AS2_445nm_postbkg,counts,0.0,0.0
AS2_480nm_postbkg,counts,0.0,0.0
AS2_515nm_postbkg,counts,0.0,0.0
AS2_555nm_postbkg,counts,0.0,0.0
AS2_590nm_postbkg,counts,0.0,0.0
AS2_630nm_postbkg,counts,0.0,0.0
AS2_680nm_postbkg,counts,0.0,0.0
AS2_CLEAR_postbkg,counts,0.0,0.0
AS2_NIR_postbkg,counts,0.0,0.0
AS3_415nm_postbkg,counts,0.0,0.0
AS3_445nm_postbkg,counts,0.0,0.0
AS3_480nm_postbkg,counts,0.0,0.0
AS3_515nm_postbkg,counts,0.0,0.0
AS3_555nm_postbkg,counts,0.0,0.0
AS3_590nm_postbkg,counts,0.0,0.0
AS3_630nm_postbkg,counts,0.0,0.0
AS3_680nm_postbkg,counts,0.0,0.0
AS3_CLEAR_postbkg,counts,0.0,0.0
AS3_NIR_postbkg,counts,0.0,0.0
O2_1_postbkg,lambda,7.959346089850251,0.0
O2_2_postbkg,lambda,0.019,0.0
O2_3_postbkg,lambda,0.024999999999999998,0.0
O2_4_postbkg,lambda,-0.0010000000000000002,0.0
O2_ave_postbkg,lambda,2.0005865224625623,0.0
datenumbers_postbkg,date,19549.776226851853,
phase_postbkg,text,postbkg,
