time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text
20230605 11:24:33,795.0,-0.06763847639484988,18.25152,0.03583090128755373,10462.0,19.30752,19.0,4.180000000000001,-16.416,13.005364806866964,55.0,19513.475381944445,prebkg
20230605 11:24:35,797.0,0.17270652360515015,18.25536,0.1710309012875535,10442.0,19.30368,19.0,1.6720000000000002,-16.872,11.005364806866964,55.0,19513.47540509259,prebkg
20230605 11:24:37,799.0,0.10403652360515014,18.2592,-0.031769098712446375,10487.0,19.31136,19.0,4.180000000000001,-16.872,6.0053648068669645,55.0,19513.47542824074,prebkg
20230605 11:24:39,801.0,0.06970152360515014,18.25536,0.03583090128755373,10446.0,19.30752,19.0,1.2540000000000002,-16.872,-1.9946351931330355,55.0,19513.475451388887,prebkg
20230605 11:24:41,803.0,0.10403652360515014,18.2592,0.1710309012875535,10462.0,19.3152,19.0,4.180000000000001,-16.872,0.0053648068669645,55.0,19513.475474537037,prebkg
20230605 11:24:43,805.0,0.10403652360515014,18.25536,-0.031769098712446375,10503.0,19.31136,19.0,1.2540000000000002,-15.960000000000003,6.0053648068669645,55.0,19513.475497685184,prebkg
20230605 11:24:45,807.0,0.06970152360515014,18.25536,-0.031769098712446375,10484.0,19.29984,19.0,4.180000000000001,-18.24,13.005364806866964,55.0,19513.475520833334,prebkg
20230605 11:24:47,809.0,0.10403652360515014,18.26304,0.10343090128755383,10445.0,19.30752,19.0,1.6720000000000002,-17.328,8.005364806866964,55.0,19513.47554398148,prebkg
20230605 11:24:49,811.0,0.17270652360515015,18.26304,-0.031769098712446375,10446.0,19.30752,19.0,4.180000000000001,-17.328,0.0053648068669645,55.0,19513.47556712963,prebkg
20230605 11:24:51,813.0,0.06970152360515014,18.27072,0.23863090128755404,10437.0,19.30752,19.0,1.2540000000000002,-16.416,-1.9946351931330355,55.0,19513.475590277776,prebkg
20230605 11:24:53,815.0,0.13837152360515015,18.26304,0.03583090128755373,10538.0,19.31136,19.0,4.180000000000001,-15.504,0.0053648068669645,55.0,19513.475613425926,prebkg
20230605 11:24:55,817.0,0.06970152360515014,18.26688,0.1710309012875535,10535.0,19.31136,19.0,2.5080000000000005,-17.328,0.0053648068669645,55.0,19513.475636574072,prebkg
20230605 11:24:57,819.0,0.06970152360515014,18.26688,0.10343090128755383,10457.0,19.29984,19.0,5.016000000000001,-17.784000000000002,6.0053648068669645,55.0,19513.475659722222,prebkg
20230605 11:24:59,821.0,0.035366523605150135,18.27072,0.03583090128755373,10445.0,19.31136,19.0,2.0900000000000003,-16.872,11.005364806866964,55.0,19513.475682870372,prebkg
20230605 11:25:01,823.0,0.17270652360515015,18.2592,0.10343090128755383,10470.0,19.31136,19.0,3.762,-16.872,11.005364806866964,55.0,19513.47570601852,prebkg
20230605 11:25:03,825.0,0.10403652360515014,18.26688,0.1710309012875535,10449.0,19.31136,19.0,2.5080000000000005,-16.416,11.005364806866964,55.0,19513.47572916667,prebkg
20230605 11:25:05,827.0,0.13837152360515015,18.27072,0.03583090128755373,10455.0,19.3152,19.0,4.598000000000001,-18.24,4.0053648068669645,55.0,19513.475752314815,prebkg
20230605 11:25:07,829.0,0.035366523605150135,18.27456,0.10343090128755383,10542.0,19.31136,19.0,2.0900000000000003,-17.328,8.005364806866964,55.0,19513.475775462965,prebkg
20230605 11:25:09,831.0,0.035366523605150135,18.27456,-0.031769098712446375,10329.0,19.31136,19.0,5.016000000000001,-18.24,26.005364806866964,55.0,19513.47579861111,prebkg
20230605 11:25:11,833.0,0.0010315236051501309,18.26688,0.03583090128755373,10621.0,19.3152,19.0,2.0900000000000003,-17.328,21.005364806866964,55.0,19513.47582175926,prebkg
20230605 11:25:13,835.0,0.035366523605150135,18.28224,-0.09936909871244604,10448.0,19.31904,19.0,5.016000000000001,-17.784000000000002,11.005364806866964,55.0,19513.475844907407,prebkg
20230605 11:25:15,837.0,-0.033303476394849874,18.28224,0.10343090128755383,10453.0,19.3152,19.0,2.5080000000000005,-16.872,6.0053648068669645,55.0,19513.475868055557,prebkg
20230605 11:25:17,839.0,0.06970152360515014,18.2784,0.03583090128755373,10466.0,19.31904,19.0,5.016000000000001,-17.784000000000002,13.005364806866964,55.0,19513.475891203703,prebkg
20230605 11:25:19,841.0,0.13837152360515015,18.28224,-0.031769098712446375,10332.0,19.32672,19.0,1.2540000000000002,-18.696,26.005364806866964,55.0,19513.475914351853,prebkg
20230605 11:25:21,843.0,0.06970152360515014,18.2784,-0.031769098712446375,10462.0,19.31136,19.0,4.598000000000001,-16.872,16.005364806866964,55.0,19513.4759375,prebkg
20230605 11:25:23,845.0,0.0010315236051501309,18.2784,0.10343090128755383,10565.0,19.31136,19.0,1.6720000000000002,-17.784000000000002,21.005364806866964,55.0,19513.47596064815,prebkg
20230605 11:25:25,847.0,0.10403652360515014,18.28224,-0.031769098712446375,10449.0,19.31904,19.0,4.598000000000001,-17.784000000000002,21.005364806866964,55.0,19513.475983796296,prebkg
20230605 11:25:27,849.0,0.035366523605150135,18.28224,0.1710309012875535,10446.0,19.30752,19.0,2.0900000000000003,-17.784000000000002,13.005364806866964,55.0,19513.476006944446,prebkg
20230605 11:25:29,851.0,0.0010315236051501309,18.28224,0.10343090128755383,10454.0,19.31136,19.0,4.180000000000001,-15.960000000000003,6.0053648068669645,55.0,19513.476030092592,prebkg
20230605 11:25:31,853.0,0.10403652360515014,18.289920000000002,-0.031769098712446375,10557.0,19.3152,19.0,2.0900000000000003,-18.696,6.0053648068669645,55.0,19513.47605324074,prebkg
