Energy Outputs,units,5.31,7.11,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
final_water_mass_pot3_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot3_L1,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot4_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot4_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot4_L1,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_L1,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
cooking_power_L1,kW,,,nan,0,nan,nan,nan,nan,nan,nan-nan
eff_wo_char_L1,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
eff_w_char_L1,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_energy_productivity_L1,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_mass_productivity_L1,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
burn_rate_L1,g/min,58.31807867738229,170.94980239782043,114.634,2,79.643,355.566,470.2,-240.932,69.476,470.2--240.932
firepower_L1,kW,29.43896611634258,86.29546025041974,57.867,2,40.204,179.491,237.358,-121.624,69.477,237.358--121.624
phase_time_hp,min,107.0,48.86666666666667,77.933,2,41.106,183.518,261.451,-105.585,52.745,261.451--105.585
time_to_boil_hp,min,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_mass_lb_hp,lb,18.959999999999997,15.49300000000002,17.227,2,2.452,10.947,28.174,6.28,14.233,28.174-6.28
fuel_mass_hp,kg,8.600104319999998,7.0275008560000085,7.814,2,1.112,4.965,12.779,2.849,14.231,12.779-2.849
fuel_dry_mass_hp,kg,7.396089715199998,6.043650736160007,6.72,2,0.956,4.268,10.988,2.452,14.226,10.988-2.452
char_mass_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot1_hp,kg,23.639999999999986,14.664999999999992,19.152,2,6.346,28.332,47.484,-9.18,33.135,47.484--9.18
final_water_mass_pot1_hp,kg,2.0600000000000023,0.3649999999999807,1.212,2,1.199,5.353,6.565,-4.141,98.927,6.565--4.141
useful_energy_delivered_pot1_hp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot2_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot2_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot2_hp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot3_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot3_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot3_hp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot4_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot4_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot4_hp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_hp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
cooking_power_hp,kW,,,nan,0,nan,nan,nan,nan,nan,nan-nan
eff_wo_char_hp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
eff_w_char_hp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_energy_productivity_hp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_mass_productivity_hp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
burn_rate_hp,g/min,80.37480672897195,143.80970373806292,112.092,2,44.855,200.255,312.347,-88.163,40.016,312.347--88.163
firepower_hp,kW,40.57320243678503,72.59513844697418,56.584,2,22.643,101.09,157.674,-44.506,40.017,157.674--44.506
phase_time_mp,min,,58.7,58.7,1,nan,nan,nan,nan,nan,nan-nan
time_to_boil_mp,min,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_mass_lb_mp,lb,,9.917000000000002,9.917,1,nan,nan,nan,nan,nan,nan-nan
fuel_mass_mp,kg,,4.498271864,4.498,1,nan,nan,nan,nan,nan,nan-nan
fuel_dry_mass_mp,kg,,3.8685138030400004,3.869,1,nan,nan,nan,nan,nan,nan-nan
char_mass_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot1_mp,kg,,12.86499999999998,12.865,1,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot1_mp,kg,,2.0649999999999977,2.065,1,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot1_mp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot2_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot2_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot2_mp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot3_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot3_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot3_mp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot4_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot4_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot4_mp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_mp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
cooking_power_mp,kW,,,nan,0,nan,nan,nan,nan,nan,nan-nan
eff_wo_char_mp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
eff_w_char_mp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_energy_productivity_mp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_mass_productivity_mp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
burn_rate_mp,g/min,,76.63154793867122,76.632,1,nan,nan,nan,nan,nan,nan-nan
firepower_mp,kW,,38.68360539944123,38.684,1,nan,nan,nan,nan,nan,nan-nan
phase_time_lp,min,,78.46666666666667,78.467,1,nan,nan,nan,nan,nan,nan-nan
time_to_boil_lp,min,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_mass_lb_lp,lb,,19.536000000000005,19.536,1,nan,nan,nan,nan,nan,nan-nan
fuel_mass_lp,kg,,8.861373312000001,8.861,1,nan,nan,nan,nan,nan,nan-nan
fuel_dry_mass_lp,kg,,7.620781048320001,7.621,1,nan,nan,nan,nan,nan,nan-nan
char_mass_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot1_lp,kg,,25.36499999999998,25.365,1,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot1_lp,kg,,4.064999999999998,4.065,1,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot1_lp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot2_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot2_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot2_lp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
