time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,COconc,CO2conc,PMconc,Cconc,MCE,CER_CO,CER_CO2,CER_PM,EFmass_CO,EFmass_CO2,EFmass_PM,EFmass_dry_CO,EFmass_dry_CO2,EFmass_dry_PM,EFenergy_CO,EFenergy_CO2,EFenergy_PM,ER_CO,ER_CO2,ER_PM,ER_PM_heat,Realtime_conc_PM,PM_flowrate
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 14:28:51,11853.0,518.8372165236051,32.02176,1511.3690309012877,14121.0,27.9744,319.70000000000005,2684.396,2627.9280000000003,5074.005364806867,35.0,19513.603368055556,test,0.6044817610202137,9.28840754394058,23.66881221713821,2.7939239140137215,0.9072319292061712,0.21635584204289285,3.3245026814624143,8.471530702185746,17.090461476834008,262.610357412492,669.1863170804453,24.4706905394642,376.0142344552793,958.1632011936101,4.381663292909731,67.32820906983382,171.56641004945038,0.6069802474166406,9.326799041235448,23.76664181127566,1.4259985086765397,23668.81221713821,4.221757764080444
20230605 14:28:53,11855.0,517.0174615236051,32.01408,1527.9310309012876,14209.0,27.98208,319.6,2684.396,2571.384,5051.005364806867,35.0,19513.603391203702,test,0.6023616187636582,9.246304046180727,23.92818161000348,2.7815251192995736,0.9071452331196102,0.21655803666275758,3.324184988309246,8.602540183433227,17.10643330975977,262.58526207628836,679.5350669511154,24.49355954048001,375.9783021191598,972.9808850752743,4.3857581615091625,67.32177511170953,174.21962906856723,0.6075474987523705,9.325907762003549,24.134185236914973,1.4480511142148984,23928.18161000348,4.2680209537178575
20230605 14:28:55,11857.0,515.0603665236051,32.01408,1520.4950309012875,14033.0,27.98592,319.6,2685.65,2576.856,5043.005364806867,35.0,19513.603414351852,test,0.6000814657707589,9.231659351307735,23.81173004585989,2.776551017949489,0.9073310048097774,0.2161247756268225,3.3248657386909493,8.576010270268721,17.072208992199656,262.639036164679,677.4394061423268,24.444556025561873,376.0552976454557,969.9802483050466,4.3769837093867725,67.33556174640809,173.68234222861236,0.6063319970663299,9.327817588108607,24.059756309530886,1.443585378571853,23811.730045859887,4.247249725717386
20230605 14:28:57,11859.0,513.2062765236051,32.017920000000004,1683.9518309012878,14031.0,27.98592,319.70000000000005,2688.994,2611.968,5051.005364806867,35.0,19513.6034375,test,0.5979213208301174,9.246304046180727,26.37154715585267,2.7796212286111825,0.9077665786988485,0.21510892012033755,3.3264618758148483,9.487460695869352,16.99196415464094,262.7651188244776,749.4370385597742,24.329658801168573,376.2358269866035,1073.0688503799292,4.356410487320585,67.36788689825147,192.14114063891589,0.6034820429313102,9.332295506047995,26.6168049180422,1.597008295082532,26371.54715585267,4.70383908303684
20230605 14:28:59,11861.0,511.3865215236051,32.025600000000004,1603.6430309012876,14029.0,27.99744,319.70000000000005,2682.306,2625.648,5035.005364806867,35.0,19513.603460648148,test,0.5958011785735619,9.217014656434742,25.113870263101873,2.7707193081812105,0.9077983431383639,0.21503483835923637,3.3265782748975345,9.064025427962758,16.9861122605008,262.77431346428864,715.988881737386,24.32127986472106,376.24899217735873,1025.1766681924794,4.354910175009967,67.37024422580556,183.56568109601204,0.6032742086280732,9.332622060410202,25.428869148653902,1.5257321489192341,25113.87026310187,4.479509820631748
20230605 14:29:01,11863.0,510.0817915236051,32.01024,1529.6210309012877,14025.0,27.9936,319.8,2684.396,2621.088,4988.005364806867,35.0,19513.603483796298,test,0.5942810765782957,9.13097707405591,23.954647874581575,2.7465885127324907,0.9072255900970396,0.21637062625994344,3.3244794521374446,8.721600546836148,17.091629317228712,262.60852247297856,688.9399276423837,24.47236269214054,376.01160712792165,986.4470770710118,4.3819627045667175,67.32773862688401,176.63085318452914,0.6070217241229707,9.326733872015684,24.46820574753975,1.468092344852385,23954.647874581573,4.272741687354329
20230605 14:29:03,11865.0,510.25346652360514,32.01408,1387.7286309012877,14124.0,27.98592,319.8,2685.232,2614.2480000000005,4950.005364806867,35.0,19513.603506944444,test,0.5944810899987255,9.061414773409194,21.732540300605212,2.7276912417459287,0.9065514140839227,0.21794295516314105,3.3220089703441666,7.967375474173808,17.21583130916607,262.4133732525158,629.3618990230198,24.65019923056309,375.7321859906145,901.1412763311084,4.413805689597629,67.27770614665516,161.35620062940387,0.6114328487668526,9.319803004626282,22.35224845750428,1.3411349074502568,21732.54030060521,3.8763888912362416
20230605 14:29:05,11867.0,510.39080652360514,32.02176,1384.9570309012877,14126.0,27.98208,319.8,2689.4120000000003,2632.032,4903.005364806867,35.0,19513.603530092594,test,0.5946411007350693,8.975377191030363,21.689135626697144,2.704280837368492,0.9057170784531433,0.21988881203392632,3.3189515922333754,8.02029705161932,17.369539161820196,262.17186369895245,633.5423000331598,24.87028324063404,375.38638458814313,907.1269133830197,4.4532134058093575,67.21578777498509,162.42797447709088,0.6168918956486671,9.311225616076879,22.500718458906817,1.350043107534409,21689.135626697145,3.86864688807243
20230605 14:29:07,11869.0,511.2491815236051,32.02944,1264.7642309012876,13952.0,27.966720000000002,319.90000000000003,2681.47,2637.0480000000002,4872.005364806867,35.0,19513.60355324074,test,0.5956411678372181,8.918628998397516,19.806854889903452,2.6892234840333837,0.9050297218673968,0.22149188097370634,3.3164328109395615,7.365269196666576,17.496169382207718,261.972899186305,581.8000950821896,25.051596597224645,375.1015005887303,833.040705301336,4.48567894158188,67.16477712773951,149.1622753363631,0.6213892606031142,9.304159245793223,20.663056181291104,1.2397833708774664,19806.85488990345,3.532908311846628
20230605 14:29:09,11871.0,511.5925315236051,32.01408,1220.8242309012876,13956.0,27.966720000000002,320.0,2686.068,2648.904,4903.005364806867,35.0,19513.60357638889,test,0.5960411946780776,8.975377191030363,19.11873201087313,2.704881163261228,0.9055160620753913,0.2203576270831215,3.3182149785127373,7.06823363279369,17.40657197527407,262.11367683282947,558.3365508871926,24.923308053279612,375.30307070008416,799.4448231928804,4.462707901880395,67.20086978954824,143.14667707647172,0.6182071431218401,9.30915906694106,19.829731236844438,1.1897838742106663,19118.732010873133,3.4101692372983874
