sep=,

firmware launcher:,6.84
firmware GUI,6.30

Household ID:,1
Sensor ID:,3944
Sensor Type:,EXACT 
Start time:,2023-02-03 03:07:57
Stop time:,2023-02-03 15:05:33
Total number of logs:,10764
Study arm:,0

Type of stove data logged:,usage and temperature
Stove Name:,Coal Hea
Cooking Events per day:,10.03
Cooking Time (min/day):,481.61
Number of days since last use:,0

Timestamp,Coal Hea Usage (EXACT 3944),Coal Hea Temperature (EXACT 3944)
2023-02-03 10:45:13,0,0
2023-02-03 10:45:17,0,0
2023-02-03 10:45:21,0,0
2023-02-03 10:45:25,0,0
2023-02-03 10:45:29,0,0
2023-02-03 10:45:33,0,0
2023-02-03 10:45:37,0,0
2023-02-03 10:45:41,0,0
2023-02-03 10:45:45,0,0
2023-02-03 10:45:49,0,0
2023-02-03 10:45:53,0,0
2023-02-03 10:45:57,0,0
2023-02-03 10:46:01,0,0
2023-02-03 10:46:05,0,0
2023-02-03 10:46:09,0,0
2023-02-03 10:46:13,0,0
2023-02-03 10:46:17,0,0
2023-02-03 10:46:21,0,0
2023-02-03 10:46:25,0,0
2023-02-03 10:46:29,0,0
2023-02-03 10:46:33,0,0
2023-02-03 10:46:37,0,0
2023-02-03 10:46:41,0,0
2023-02-03 10:46:45,0,0
2023-02-03 10:46:49,0,0
2023-02-03 10:46:53,0,0
2023-02-03 10:46:57,0,0
2023-02-03 10:47:01,0,0
2023-02-03 10:47:05,0,0
2023-02-03 10:47:09,0,0
2023-02-03 10:47:13,0,0
2023-02-03 10:47:17,0,0
2023-02-03 10:47:21,0,0
2023-02-03 10:47:25,0,0
2023-02-03 10:47:29,0,0
2023-02-03 10:47:33,0,0
2023-02-03 10:47:37,0,0
2023-02-03 10:47:41,0,0
2023-02-03 10:47:45,0,0
2023-02-03 10:47:49,0,0
2023-02-03 10:47:53,0,0
2023-02-03 10:47:57,0,0
2023-02-03 10:48:01,0,0
2023-02-03 10:48:05,0,0
2023-02-03 10:48:09,0,0
2023-02-03 10:48:13,0,0
2023-02-03 10:48:17,0,0
2023-02-03 10:48:21,0,0
2023-02-03 10:48:25,0,0
2023-02-03 10:48:29,0,0
2023-02-03 10:48:33,0,0
2023-02-03 10:48:37,0,0
