time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,CO_bkg,PM_bkg,CO2_bkg
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,ppm,Mm^-1,ppm
20230605 13:20:39,7761.0,130.50836652360513,28.512,48.30223090128756,14628.0,26.48064,347.3,2703.206,2590.536,5088.005364806867,39.0,19513.556006944444,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:41,7763.0,130.54270152360513,28.50048,46.071430901287556,14617.0,26.492160000000002,347.40000000000003,2702.3700000000003,2647.992,5064.005364806867,39.0,19513.556030092594,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:43,7765.0,130.95472152360514,28.49664,45.05743090128756,14549.0,26.496000000000002,347.5,2701.952,2609.232,5103.005364806867,39.0,19513.55605324074,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:45,7767.0,131.60708652360515,28.50432,35.45823090128756,14548.0,26.4768,347.3,2703.206,2620.1760000000004,5135.005364806867,39.0,19513.55607638889,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:47,7769.0,132.39679152360515,28.50816,36.87783090128755,14535.0,26.49984,347.20000000000005,2704.0420000000004,2630.664,5119.005364806867,39.0,19513.556099537036,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:49,7771.0,132.80881152360516,28.51584,26.39983090128755,14624.0,26.48832,347.20000000000005,2706.55,2627.9280000000003,5128.005364806867,39.0,19513.556122685186,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:51,7773.0,133.56418152360516,28.512,27.95463090128755,14712.0,26.48832,347.3,2703.206,2668.056,5119.005364806867,39.0,19513.556145833332,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:53,7775.0,133.18649652360514,28.51968,27.54903090128756,14963.0,26.48832,347.40000000000003,2704.0420000000004,2665.7760000000003,5199.005364806867,39.0,19513.556168981482,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:55,7777.0,132.43112652360514,28.52352,22.614230901287556,14621.0,26.50368,347.40000000000003,2704.0420000000004,2650.728,5175.005364806867,38.0,19513.55619212963,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:57,7779.0,131.36674152360516,28.531200000000002,21.870630901287555,14608.0,26.5152,347.3,2708.64,2645.712,5199.005364806867,38.0,19513.55621527778,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:59,7781.0,129.75299652360513,28.535040000000002,30.320630901287558,14536.0,26.50368,347.3,2704.46,2684.016,5200.005364806867,38.0,19513.556238425925,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:01,7783.0,128.00191152360514,28.54272,26.46743090128755,14621.0,26.48832,347.1,2707.8040000000005,2589.1680000000006,5152.005364806867,38.0,19513.556261574075,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:03,7785.0,125.83880652360514,28.54272,26.535030901287556,14621.0,26.492160000000002,346.90000000000003,2700.698,2627.016,5097.005364806867,38.0,19513.55628472222,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:05,7787.0,124.36240152360514,28.54656,33.565430901287556,14519.0,26.48832,346.8,2706.9680000000003,2601.48,5082.005364806867,38.0,19513.55630787037,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:07,7789.0,122.26796652360514,28.55424,41.81263090128756,14624.0,26.496000000000002,346.70000000000005,2701.1160000000004,2653.92,5074.005364806867,38.0,19513.556331018517,none,-1.37443152360515,2.803369098712446,869.994635193133
