time,Battery level,Temperature,firewood,seconds
yyyymmdd hhmmss,%,C,kg,s
2023-03-22 18:33:08,82.0,15.78,3.12245,1220
2023-03-22 18:33:12,83.0,15.78,3.12245,1224
2023-03-22 18:33:16,83.0,15.78,3.122565,1228
2023-03-22 18:33:20,83.0,15.78,3.122565,1232
2023-03-22 18:33:24,82.0,15.78,3.123284,1236
2023-03-22 18:33:28,83.0,15.78,3.123284,1240
2023-03-22 18:33:32,83.0,15.76,3.123284,1244
2023-03-22 18:33:36,82.0,15.7,3.122422,1248
2023-03-22 18:33:40,82.0,15.7,3.120928,1252
2023-03-22 18:33:44,83.0,15.7,3.120928,1256
2023-03-22 18:33:48,83.0,15.7,3.120928,1260
2023-03-22 18:33:52,83.0,15.7,3.120685,1264
2023-03-22 18:33:56,82.0,15.68,3.120921,1268
2023-03-22 18:34:00,83.0,15.68,3.120921,1272
2023-03-22 18:34:04,82.0,15.68,3.120921,1276
2023-03-22 18:34:08,82.0,15.68,3.120107,1280
2023-03-22 18:34:12,82.0,15.68,3.120465,1284
2023-03-22 18:34:16,82.0,15.68,3.120465,1288
2023-03-22 18:34:20,83.0,15.68,3.120465,1292
2023-03-22 18:34:24,82.0,15.68,3.120465,1296
2023-03-22 18:34:28,82.0,15.68,3.120845,1300
2023-03-22 18:34:32,82.0,15.68,3.120845,1304
2023-03-22 18:34:36,83.0,15.68,3.120845,1308
2023-03-22 18:34:40,83.0,15.68,3.120845,1312
2023-03-22 18:34:44,82.0,15.68,3.120845,1316
2023-03-22 18:34:48,83.0,15.68,3.119919,1320
2023-03-22 18:34:52,82.0,15.68,3.119919,1324
2023-03-22 18:34:56,82.0,15.68,3.119909,1328
2023-03-22 18:35:00,83.0,15.68,3.119919,1332
2023-03-22 18:35:04,82.0,15.67,3.119919,1336
2023-03-22 18:35:08,82.0,15.65,3.12011,1340
2023-03-22 18:35:12,82.0,15.61,3.120311,1344
2023-03-22 18:35:16,83.0,15.6,3.120311,1348
2023-03-22 18:35:20,82.0,15.6,3.120337,1352
2023-03-22 18:35:24,82.0,15.6,3.12011,1356
2023-03-22 18:35:28,82.0,15.6,3.120337,1360
2023-03-22 18:35:32,82.0,15.6,3.120197,1364
2023-03-22 18:35:36,82.0,15.6,3.120197,1368
2023-03-22 18:35:40,82.0,15.59,3.120132,1372
2023-03-22 18:35:44,82.0,15.58,3.120197,1376
2023-03-22 18:35:48,82.0,15.58,3.120132,1380
2023-03-22 18:35:52,82.0,15.58,3.119979,1384
2023-03-22 18:35:56,82.0,15.58,3.119768,1388
2023-03-22 18:36:00,82.0,15.58,3.119768,1392
2023-03-22 18:36:04,83.0,15.58,3.119753,1396
2023-03-22 18:36:08,82.0,15.58,3.119753,1400
2023-03-22 18:36:12,82.0,15.58,3.119753,1404
2023-03-22 18:36:16,82.0,15.58,3.119753,1408
2023-03-22 18:36:20,82.0,15.58,3.119753,1412
2023-03-22 18:36:24,83.0,15.58,3.119689,1416
2023-03-22 18:36:28,83.0,15.58,3.119689,1420
2023-03-22 18:36:32,83.0,15.58,3.119449,1424
2023-03-22 18:36:36,83.0,15.58,3.119309,1428
2023-03-22 18:36:40,83.0,15.58,3.119309,1432
2023-03-22 18:36:44,83.0,15.58,3.119449,1436
2023-03-22 18:36:48,82.0,15.58,3.119239,1440
2023-03-22 18:36:52,82.0,15.58,3.119695,1444
2023-03-22 18:36:56,82.0,15.58,3.119695,1448
2023-03-22 18:37:00,83.0,15.58,3.119638,1452
2023-03-22 18:37:04,82.0,15.56,3.119638,1456
2023-03-22 18:37:08,83.0,15.53,3.119711,1460
2023-03-22 18:37:12,82.0,15.51,3.119638,1464
2023-03-22 18:37:16,83.0,15.5,3.119638,1468
2023-03-22 18:37:20,83.0,15.5,3.119619,1472
2023-03-22 18:37:24,82.0,15.5,3.119232,1476
2023-03-22 18:37:28,82.0,15.5,3.119232,1480
2023-03-22 18:37:32,83.0,15.5,3.119408,1484
2023-03-22 18:37:36,83.0,15.5,3.119232,1488
2023-03-22 18:37:40,82.0,15.5,3.119408,1492
2023-03-22 18:37:44,82.0,15.5,3.119408,1496
2023-03-22 18:37:48,82.0,15.49,3.119408,1500
2023-03-22 18:37:52,82.0,15.49,3.119337,1504
2023-03-22 18:37:56,82.0,15.48,3.119337,1508
2023-03-22 18:38:00,82.0,15.48,3.119337,1512
2023-03-22 18:38:04,82.0,15.48,3.119574,1516
2023-03-22 18:38:08,82.0,15.48,3.119337,1520
2023-03-22 18:38:12,82.0,15.48,3.119245,1524
2023-03-22 18:38:16,83.0,15.48,3.119807,1528
2023-03-22 18:38:20,83.0,15.48,3.119807,1532
2023-03-22 18:38:24,82.0,15.48,3.119571,1536
2023-03-22 18:38:28,82.0,15.48,3.119571,1540
2023-03-22 18:38:32,83.0,15.48,3.119571,1544
2023-03-22 18:38:36,83.0,15.48,3.11944,1548
2023-03-22 18:38:40,82.0,15.48,3.119385,1552
2023-03-22 18:38:44,83.0,15.48,3.119088,1556
2023-03-22 18:38:48,83.0,15.48,3.119088,1560
2023-03-22 18:38:52,82.0,15.48,3.118839,1564
