time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 11:36:00,1348.0,31.84944661971831,1301.6478873239437,6182.429577464791,0.2996,24.782718799999998,45.0,53.0,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483333333334,hp
20230727 11:36:04,1352.0,30.77912661971831,1282.6478873239437,5237.429577464791,0.2795,24.782718799999998,45.2,53.0,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48337962963,hp
20230727 11:36:08,1356.0,29.48844661971831,1238.6478873239437,7667.429577464791,0.287,24.7941149,45.3,53.0,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483425925926,hp
20230727 11:36:12,1360.0,27.85148661971831,1227.6478873239437,7937.429577464791,0.2794,24.7979136,45.5,52.9,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483472222222,hp
20230727 11:36:16,1364.0,26.60802661971831,1214.6478873239437,6452.429577464791,0.275,24.805511,46.0,53.0,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48351851852,hp
20230727 11:36:20,1368.0,26.16730661971831,1195.6478873239437,5507.429577464791,0.2968,24.8131084,46.1,52.9,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483564814815,hp
20230727 11:36:24,1372.0,25.33308661971831,1187.6478873239437,5237.429577464791,0.2894,24.8207058,46.3,52.9,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48361111111,hp
20230727 11:36:28,1376.0,24.54608661971831,1200.6478873239437,4697.429577464791,0.2833,24.832101899999998,46.7,52.9,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483657407407,hp
20230727 11:36:32,1380.0,23.80630661971831,1216.6478873239437,4292.429577464791,0.2735,24.832101899999998,46.5,52.8,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483703703703,hp
20230727 11:36:36,1384.0,23.09800661971831,1219.6478873239437,6452.429577464791,0.2924,24.8396993,46.9,52.6,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48375,hp
20230727 11:36:40,1388.0,22.49988661971831,1194.6478873239437,4157.429577464791,0.2748,24.8396993,47.2,52.5,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483796296296,hp
20230727 11:36:44,1392.0,22.59432661971831,1157.6478873239437,2267.429577464791,0.2836,24.843498,47.0,52.4,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483842592592,hp
20230727 11:36:48,1396.0,22.34248661971831,1142.6478873239437,2402.429577464791,0.2915,24.843498,47.3,52.3,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483888888888,hp
