time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,CO_bkg,CO2_bkg,PM_bkg,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,ppm,ppm,Mm^-1,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 12:31:32,4680.0,36.94920661971831,1432.6478873239437,7802.429577464791,0.2959,26.4313546,87.5,52.2,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.52189814815,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.041223797887185+/-0,2.511427272099507+/-0,0.003432549491653665+/-0,0.9748575941174699,29.0,1155.1217775175285+/-0,30.051555196195604,1.036260524006745,0.026015919516970222,30.305314967061477,0.001072475008016852,0.06533708978366484,8.930093131287879e-05,1.211337189437306,50.82250126677069,0.09670911647889702
20230727 12:31:36,4684.0,35.43816661971832,1424.6478873239437,6992.429577464791,0.2961,26.438952,87.6,52.1,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.521944444445,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.039536945564170034+/-0,2.4973399644027983+/-0,0.0030762034252604735+/-0,0.9757287137124552,29.0,1155.0924843071687+/-0,30.061328288093147,1.0365975271756258,0.026025040156091146,30.33134000721757,0.0010289505959567148,0.06499337285699405,8.005831767070895e-05,1.2123661400332626,50.88749463962769,0.09678917479656772
20230727 12:31:40,4688.0,35.04466661971831,1435.6478873239437,6857.429577464791,0.2769,26.442750699999998,88.0,52.1,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.52199074074,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.039097437603547+/-0,2.5165905314139465+/-0,0.0030168124141949416+/-0,0.9761713170262908,29.0,1155.0778382591254+/-0,29.070177745958663,1.0024199222744365,0.025167288976621485,30.35650729619419,0.0009839765104138949,0.06333576113992422,7.592498981630321e-05,1.2133501165436764,50.950830400767614,0.09686509978638402
20230727 12:31:44,4692.0,33.801206619718315,1454.6478873239437,4697.429577464791,0.2922,26.4503481,88.2,52.1,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.522037037037,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.03770922031762353+/-0,2.549831543711775+/-0,0.002066556237146431+/-0,0.9772909891529029,29.0,1155.0485472772423+/-0,29.862131842350045,1.029728684218967,0.025853572919288165,30.38236086911348,0.0009749180772111828,0.06592225574725348,5.342786236887502e-05,1.2143250346208876,51.01675265651487,0.0969185276487529
20230727 12:31:48,4696.0,32.57348661971832,1451.6478873239437,5777.429577464791,0.2845,26.4579455,88.4,52.2,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.522083333333,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.03633863281141268+/-0,2.5445083616965776+/-0,0.0025416843256706864+/-0,0.978053485018095,29.0,1155.019257780869+/-0,29.46567074655191,1.016057611950066,0.025510977888943697,30.407871847002422,0.0009270340581663929,0.06491289655347374,6.484085263285966e-05,1.215252068679054,51.08166555306834,0.09698336850138577
20230727 12:31:52,4700.0,31.42446661971831,1449.6478873239437,8612.42957746479,0.2992,26.4655429,88.4,52.3,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.52212962963,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.035055909464466496+/-0,2.5409382464901893+/-0,0.0037888955580468566+/-0,0.9787826256184958,29.0,1154.989969769893+/-0,30.21694016507661,1.041963453968159,0.026162080153039502,30.43403392715546,0.0009171355132470686,0.06647623006859997,9.91253892811172e-05,1.2161692041923011,51.14814178313694,0.09708249389066688
20230727 12:31:56,4704.0,30.29118661971831,1440.6478873239437,6857.429577464791,0.2894,26.4731403,88.5,52.4,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.522175925926,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.03379080965325498+/-0,2.5250990455183975+/-0,0.0030168124141949416+/-0,0.9794069059988283,29.0,1154.9606832442007+/-0,29.717580459965497,1.0247441537919137,0.02573038276635614,30.459764309921816,0.0008694504663633327,0.06497176496414891,7.76237381515308e-05,1.2170386546586645,51.21311354810109,0.0971601176288184
20230727 12:32:00,4708.0,29.86620661971831,1438.6478873239437,6857.429577464791,0.2893,26.476938999999998,88.6,52.3,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.522222222222,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.033316308167186275+/-0,2.5215615717010165+/-0,0.0030168124141949416+/-0,0.9796622948714688,29.0,1154.946040538301+/-0,29.71225732354558,1.0245605973636407,0.02572609999138764,30.485490409913204,0.0008570986752529188,0.06486994512802093,7.761081782283861e-05,1.2178957533339174,51.277983493229115,0.09723772844664125
20230727 12:32:04,4712.0,29.56714661971831,1438.6478873239437,6722.429577464791,0.2867,26.4883351,88.7,52.5,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.522268518518,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.032981446756824+/-0,2.521465669526758+/-0,0.0029574214031294096+/-0,0.979861841803717,29.0,1154.902114648217+/-0,29.577878348545628,1.0199268396050216,0.025610723171595406,30.5111011330848,0.0008446787026877325,0.06457655924893127,7.574170085729857e-05,1.218740432036605,51.34256005247805,0.09731347014749854
20230727 12:32:08,4716.0,30.57450661971831,1440.6478873239437,8207.42957746479,0.2768,26.4959325,88.7,52.7,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.522314814814,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.034104268085478534+/-0,2.524906976959399+/-0,0.0036107225248502603+/-0,0.9792182971482902,29.0,1154.8728325776992+/-0,29.062348685214996,1.002149954662586,0.025164977359755925,30.536266110444554,0.0008582331342421139,0.06353922691067304,9.086375059021754e-05,1.2195986651708473,51.40609927938872,0.09740433389808875
20230727 12:32:12,4720.0,31.94388661971831,1449.6478873239437,8342.42957746479,0.2876,26.4997312,88.8,52.6,27.7,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.52236111111,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.03563128837238303+/-0,2.540648340142853+/-0,0.0036701135359157927+/-0,0.9784394816564815,29.0,1154.8581920992594+/-0,29.623703632222387,1.021507021800772,0.025651377662545296,30.5619174881071,0.0009139916346430561,0.06517113008072316,9.414346837419549e-05,1.2205126568054903,51.47127040946944,0.09749847736646294
20230727 12:32:16,4724.0,33.28178661971831,1465.6478873239437,7667.429577464791,0.2949,26.4997312,89.0,52.6,27.7,1533.5424,1.2845056,4.0,3.6,3.3,2.9,19565.522407407407,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.037123627150094096+/-0,2.568689889954874+/-0,0.003373158480588133+/-0,0.9777962987868841,29.0,1154.8581920992594+/-0,29.99730919786986,1.03438997234034,0.025974885404191347,30.58789237351129,0.0009642819610116208,0.06672142553048273,8.761740498345295e-05,1.2214769387665019,51.53799183499992,0.09758609477144639
20230727 12:32:20,4728.0,34.855786619718316,1460.6478873239437,7937.429577464791,0.2817,26.5035299,89.0,52.7,27.7,1533.5424,1.2845056,4.0,3.6,3.3,2.9,19565.522453703703,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.03887882695762854+/-0,2.5598944535118573+/-0,0.0034919405027191964+/-0,0.9766929448405812,29.0,1154.8435519920135+/-0,29.31808394842144,1.0109684120145324,0.025387061215218346,30.61327943472651,0.000987019159949197,0.06498819719580344,8.865010730243256e-05,1.2224639579264511,51.602980032195724,0.09767474487874882
20230727 12:32:24,4732.0,35.91036661971832,1473.6478873239437,8882.42957746479,0.2765,26.5035299,89.1,52.6,27.7,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.5225,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.040055126140897616+/-0,2.5826779239050013+/-0,0.00390767758017792+/-0,0.9762113409496428,29.0,1154.8435519920135+/-0,29.04622708521483,1.0015940374212011,0.025151655421301346,30.63843109014781,0.0010074527305526167,0.06495862520626053,9.82845599941797e-05,1.2234714106570037,51.66793865740198,0.097773029438743
20230727 12:32:28,4736.0,36.71310661971832,1456.6478873239437,11447.42957746479,0.2996,26.4997312,89.5,53.0,27.7,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.522546296295,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.04095103719175307+/-0,2.552916518185612+/-0,0.005036106790423026+/-0,0.9754157857553475,29.0,1154.8581920992594+/-0,30.23540691809306,1.0426002385549331,0.026181055929587537,30.6646121460774,0.0010721413950919064,0.06683805014618538,0.00013185059354744083,1.2245435520520955,51.73477670754817,0.09790488003229043
20230727 12:32:32,4740.0,37.75194661971831,1440.6478873239437,10232.42957746479,0.3134,26.4997312,90.0,53.2,27.7,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.52259259259,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.0421097943603287+/-0,2.524874968373591+/-0,0.004501587690833239+/-0,0.9744643189528679,29.0,1154.8581920992594+/-0,30.923910624426732,1.0663417456698874,0.026777236232107742,30.691389382309506,0.001127583911272,0.06760917348467521,0.00012054007701699004,1.2256711359633676,51.80238588103285,0.09802542010930743
20230727 12:32:36,4744.0,38.93244661971831,1465.6478873239437,11582.42957746479,0.3164,26.5035299,90.0,53.2,27.7,1533.5424,1.2845056,4.0,3.6,3.4,2.9,19565.522638888888,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.04342601335265378+/-0,2.5686573267399897+/-0,0.005095497801488558+/-0,0.9741240492505493,29.0,1154.8435519920135+/-0,31.071369668465874,1.0714265402919267,0.026905263154364263,30.71829464546387,0.0011683883169980862,0.06911040132932525,0.0001370957092515342,1.2268395242803658,51.87149628236217,0.09816251581855896
