time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda
20230727 11:17:56,264.0,-0.28332,665.0,33615.0,0.2964,21.003012299999998,21.9,52.9,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:00,268.0,-0.33054,664.0,34290.0,0.2794,21.003012299999998,21.9,52.8,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:04,272.0,-0.2361,662.0,33480.0,0.2759,21.006811,21.9,52.8,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:08,276.0,-0.28332,655.0,33615.0,0.2841,21.006811,22.0,52.8,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:12,280.0,-0.26758,650.0,33885.0,0.2824,21.0106097,21.9,52.8,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:16,284.0,-0.33054,655.0,34020.0,0.2747,21.0144084,21.9,52.8,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:20,288.0,-0.29906,662.0,33480.0,0.2923,21.018207099999998,21.9,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:24,292.0,-0.28332,654.0,33615.0,0.2899,21.018207099999998,22.0,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:28,296.0,-0.26758,649.0,34020.0,0.3083,21.0220058,21.9,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:32,300.0,-0.3148,654.0,33615.0,0.3047,21.018207099999998,21.9,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:36,304.0,-0.34628000000000003,650.0,32940.0,0.3012,21.0258045,22.0,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:40,308.0,-0.28332,655.0,33615.0,0.3054,21.0220058,21.9,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:44,312.0,-0.33054,645.0,33885.0,0.3034,21.0220058,22.0,52.7,21.7,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:18:48,316.0,-0.29906,654.0,33480.0,0.306,21.0258045,21.9,52.7,21.7,1533.5424,1.2845056,3.9,3.7,3.4,3.1
20230727 11:18:52,320.0,-0.28332,655.0,34020.0,0.2989,21.0296032,21.9,52.7,21.7,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:18:56,324.0,-0.29906,650.0,34020.0,0.2891,21.0296032,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:00,328.0,-0.34628000000000003,665.0,34290.0,0.2671,21.0258045,21.9,52.7,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:04,332.0,-0.3148,663.0,33750.0,0.2892,21.0296032,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:08,336.0,-0.28332,663.0,33750.0,0.3047,21.0372006,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:12,340.0,-0.29906,660.0,34020.0,0.2762,21.0334019,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:16,344.0,-0.25184,649.0,33885.0,0.3398,21.0334019,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:20,348.0,-0.26758,649.0,34155.0,0.3316,21.0334019,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:24,352.0,-0.28332,653.0,33885.0,0.3404,21.0372006,21.9,52.6,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:28,356.0,-0.3148,659.0,33885.0,0.3398,21.0409993,21.9,52.5,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:32,360.0,-0.28332,663.0,33885.0,0.3155,21.0485967,21.9,52.5,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:36,364.0,-0.28332,666.0,34425.0,0.3443,21.0485967,21.9,52.5,21.8,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:40,368.0,-0.29906,659.0,34290.0,0.313,21.0485967,21.9,52.4,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:44,372.0,-0.25184,661.0,34020.0,0.2879,21.052395399999998,21.9,52.4,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:48,376.0,-0.2361,653.0,33750.0,0.3004,21.0485967,21.9,52.4,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:52,380.0,-0.25184,661.0,34155.0,0.2968,21.0561941,21.9,52.3,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:19:56,384.0,-0.28332,657.0,33480.0,0.2954,21.0561941,21.9,52.3,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:00,388.0,-0.29906,649.0,34020.0,0.2915,21.0561941,21.9,52.3,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:04,392.0,-0.29906,648.0,34155.0,0.2815,21.0561941,21.9,52.2,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:08,396.0,-0.3148,644.0,33750.0,0.2992,21.0561941,21.9,52.2,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:12,400.0,-0.28332,641.0,34020.0,0.2951,21.0599928,21.9,52.1,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:16,404.0,-0.28332,649.0,33885.0,0.2909,21.0599928,21.9,52.1,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:20,408.0,-0.3148,636.0,33750.0,0.3114,21.0599928,21.9,52.1,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:24,412.0,-0.3148,638.0,33885.0,0.3204,21.0599928,21.9,52.1,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:28,416.0,-0.3148,640.0,33615.0,0.3201,21.0637915,21.9,52.0,21.9,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:32,420.0,-0.29906,630.0,34290.0,0.2817,21.0599928,21.9,52.0,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:36,424.0,-0.29906,623.0,33615.0,0.2863,21.0637915,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:40,428.0,-0.3148,623.0,34425.0,0.2867,21.0713889,21.9,52.0,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:44,432.0,-0.29906,623.0,34425.0,0.2852,21.0713889,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:48,436.0,-0.3148,614.0,33615.0,0.2803,21.0713889,21.9,52.0,22.0,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:20:52,440.0,-0.29906,615.0,33480.0,0.2893,21.0751876,21.9,52.0,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:20:56,444.0,-0.3148,610.0,33750.0,0.2903,21.0751876,21.9,52.0,22.0,1533.5424,1.2845056,3.8,3.7,3.4,3.0
20230727 11:21:00,448.0,-0.33054,602.0,34155.0,0.2817,21.0751876,21.9,52.0,22.0,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:21:04,452.0,-0.26758,618.0,34020.0,0.2949,21.0751876,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:21:08,456.0,-0.28332,609.0,33885.0,0.2857,21.0789863,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:21:12,460.0,-0.29906,619.0,34290.0,0.2916,21.082785,21.9,51.9,22.0,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:21:16,464.0,-0.28332,619.0,34020.0,0.2925,21.0789863,21.9,51.9,22.0,1533.5424,1.2845056,3.9,3.7,3.5,3.0
