time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 11:32:12,1120.0,123.61364661971831,1944.6478873239437,15092.42957746479,0.2854,23.2784336,30.9,56.2,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480694444443,hp,0.13938120731384024+/-0,3.4452206334846927+/-0,0.006639664089192387+/-0,0.9402330679215323,29.0,1167.408074299729+/-0,29.670093465068156,1.0231066712092467,0.02541535742149616,1.2465614726669185,0.0035424232017209046,0.08756151379592689,0.00016874943598549726,0.2095441297772164,3.1807484619120197,0.01629409013227517
20230727 11:32:16,1124.0,122.6377666197183,1961.6478873239437,18737.42957746479,0.2919,23.335414099999998,31.3,56.2,23.3,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.480740740742,hp,0.13825427305163998+/-0,3.4746706409151686+/-0,0.008243221387961748+/-0,0.9411607682528178,29.0,1167.183714204378+/-0,30.003176769278575,1.0345923023889163,0.025705616351690212,1.2722670890186087,0.0035539113020472803,0.08931855044384687,0.000211897086500992,0.21309804107926367,3.2700670123558666,0.016505987218776164
20230727 11:32:20,1128.0,121.9452066197183,1977.6478873239437,17657.42957746479,0.2965,23.3961933,31.8,56.0,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48078703704,hp,0.13744534736341454+/-0,3.5022935048967607+/-0,0.007768093299437493+/-0,0.9419196000541853,29.0,1166.9444918032643+/-0,30.235561044542244,1.0426055532600773,0.025910025075674012,1.2981771140942828,0.0035612123967207958,0.09074451253424529,0.0002012714921786007,0.21665925347598447,3.360811524890112,0.016707258710954763
20230727 11:32:24,1132.0,121.48874661971831,2013.6478873239437,17522.42957746479,0.2947,23.4417777,32.1,55.8,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480833333335,hp,0.13690982244634592+/-0,3.565499223681134+/-0,0.007708702288371961+/-0,0.9431002472214977,29.0,1166.7651393447954+/-0,30.141327370433174,1.0393561162218337,0.02583324300155148,1.3240103570958344,0.0035368247125557215,0.09210840786719789,0.00019914077944212884,0.2201960781885402,3.4529199327573097,0.016906399490396892
20230727 11:32:28,1136.0,119.91474661971831,2003.6478873239437,29267.42957746479,0.2931,23.4987582,32.0,55.9,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48087962963,hp,0.13511007100660483+/-0,3.5471110943952886+/-0,0.012875720251073237+/-0,0.9435313351709221,29.0,1166.5410262845355+/-0,30.05650655399249,1.0364312604824997,0.02576549463478646,1.3497758517306209,0.003481177809626294,0.09139307187163334,0.00033174930104803887,0.22367725599816649,3.544313004628943,0.017238148791444932
20230727 11:32:32,1140.0,121.89798661971831,1983.6478873239437,24137.42957746479,0.2768,23.55194,32.1,56.1,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480925925927,hp,0.13732000458854726+/-0,3.5110751138678125+/-0,0.010618861830583025+/-0,0.9421062309170186,29.0,1166.331931758387+/-0,29.206176771991345,1.0071095438617705,0.025041050473478408,1.3748169022040992,0.0034386371659200984,0.08792100914253784,0.00026590745507052284,0.2271158931640866,3.632234013771481,0.017504056246515454
20230727 11:32:36,1144.0,125.25060661971831,1966.6478873239437,30212.42957746479,0.2751,23.6051218,32.5,56.2,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480972222223,hp,0.14107149779421155+/-0,3.480361125574083+/-0,0.01329145732853196+/-0,0.9401258679700109,29.0,1166.122912176342+/-0,29.11374294147151,1.0039221703955694,0.02496627296957605,1.3997831751736753,0.003522029522157231,0.0868916458937835,0.00033183815182760094,0.23063792268624383,3.719125659665264,0.017835894398343054
20230727 11:32:40,1148.0,128.4300866197183,1953.6478873239437,22517.42957746479,0.2942,23.6583036,32.8,56.2,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48101851852,hp,0.14462667157766187+/-0,3.4567356437026717+/-0,0.009906169697796643+/-0,0.9383163895747578,29.0,1165.913967498115+/-0,30.10476007689986,1.0380951750655125,0.025820738850483436,1.4256039140241588,0.0037343675176214424,0.08925546833120444,0.00025578462077537956,0.23437229020386527,3.8083811279964688,0.018091679019118435
20230727 11:32:44,1152.0,128.7921066197183,1949.6478873239437,14282.42957746479,0.2831,23.7076867,33.0,56.1,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481064814816,hp,0.14501021980567785+/-0,3.449084283675189+/-0,0.006283318022799196+/-0,0.9380342434734685,29.0,1165.7200144740636+/-0,29.528925548473108,1.0182388120163142,0.02533106164587526,1.450934975670034,0.0036732628171795476,0.08736896661159574,0.0001591631161761655,0.23804555302104483,3.8957500946080645,0.0182508421352946
20230727 11:32:48,1156.0,122.62202661971831,1953.6478873239437,11312.42957746479,0.2911,23.7532711,33.4,55.8,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481111111112,hp,0.13804197682487118+/-0,3.4556299720102484+/-0,0.004976715779357494+/-0,0.9409411917996682,29.0,1165.5410381790873+/-0,29.940942766334263,1.0324463022873884,0.025688450072174795,1.4766234257422088,0.0035460844295300137,0.08876977800389606,0.00012784411482142947,0.24159163745057483,3.9845198726119606,0.01837868625011603
