time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 12:13:40,3608.0,25.33308661971831,1143.6478873239437,7667.429577464791,7.3482199999999995,25.2005758,42.3,47.4,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50949074074,mp
20230727 12:13:44,3612.0,25.00254661971831,1156.6478873239437,6992.429577464791,7.205979999999999,25.2043745,42.6,47.4,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509537037036,mp
20230727 12:13:48,3616.0,24.62478661971831,1169.6478873239437,6587.429577464791,7.19328,25.211971899999998,42.8,47.5,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509583333333,mp
20230727 12:13:52,3620.0,24.13684661971831,1187.6478873239437,4967.429577464791,7.543799999999999,25.2195693,43.0,47.5,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50962962963,mp
20230727 12:13:56,3624.0,23.77482661971831,1210.6478873239437,5237.429577464791,7.322819999999999,25.2309654,43.2,47.5,26.7,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.509675925925,mp
20230727 12:14:00,3628.0,23.23966661971831,1234.6478873239437,7667.429577464791,7.5310999999999995,25.2309654,43.4,47.4,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50972222222,mp
20230727 12:14:04,3632.0,22.64154661971831,1231.6478873239437,9557.42957746479,7.45998,25.2385628,43.7,47.4,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509768518517,mp
20230727 12:14:08,3636.0,22.24804661971831,1221.6478873239437,5102.429577464791,7.388859999999999,25.242361499999998,43.8,47.3,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509814814814,mp
20230727 12:14:12,3640.0,21.79158661971831,1223.6478873239437,6182.429577464791,6.91388,25.242361499999998,43.9,47.2,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50986111111,mp
20230727 12:14:16,3644.0,21.22494661971831,1202.6478873239437,5912.429577464791,7.686039999999999,25.2499589,43.9,47.3,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509907407406,mp
20230727 12:14:20,3648.0,20.91014661971831,1169.6478873239437,5642.429577464791,7.2034400000000005,25.2499589,44.1,47.4,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509953703702,mp
20230727 12:14:24,3652.0,20.59534661971831,1156.6478873239437,5642.429577464791,7.391399999999999,25.2575563,44.3,47.3,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.51,mp
20230727 12:14:28,3656.0,20.18610661971831,1172.6478873239437,5237.429577464791,6.995159999999999,25.261355,44.5,47.3,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510046296295,mp
20230727 12:14:32,3660.0,19.80834661971831,1169.6478873239437,6452.429577464791,6.979919999999999,25.2651537,44.7,47.4,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.51009259259,mp
20230727 12:14:36,3664.0,19.79260661971831,1158.6478873239437,5912.429577464791,7.360919999999999,25.2651537,44.7,47.4,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.51013888889,mp
20230727 12:14:40,3668.0,19.96574661971831,1181.6478873239437,5912.429577464791,7.34568,25.2727511,44.9,47.3,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510185185187,mp
20230727 12:14:44,3672.0,20.26480661971831,1189.6478873239437,5642.429577464791,7.87146,25.276549799999998,45.1,47.1,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510231481483,mp
