time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 12:25:24,4312.0,28.40238661971831,1388.6478873239437,6317.429577464791,7.12724,26.5833026,75.1,48.8,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.51763888889,mp,0.03167214657765518+/-0,2.433061358060929+/-0,0.002779248369932814+/-0,0.9799566838650867,29.0,1154.5361954606542+/-0,147.45009331677076,5.084485976440371,0.12771370347374766,142.62426622599952,0.0040449671363957255,0.3107352768168273,0.00035494810219749597,2.489409344754797,83.8509391070085,0.211727901574832
20230727 12:25:28,4316.0,27.12744661971831,1310.6478873239437,5912.429577464791,7.091679999999999,26.590899999999998,75.2,48.7,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.517685185187,mp,0.030249665274684284+/-0,2.296338712267749+/-0,0.002601075336736218+/-0,0.9797219712971171,29.0,1154.5069319424244+/-0,147.07993232396444,5.071721804274636,0.12739631807710908,143.13385149830796,0.00385369597905976,0.29254509700084125,0.00033136742094137084,2.4932630407338565,84.14348420400934,0.21205926899577338
20230727 12:25:32,4320.0,26.79690661971831,1217.6478873239437,6047.429577464791,7.317740000000001,26.5871013,75.3,48.7,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.517731481483,mp,0.029881460649967682+/-0,2.133423816744172+/-0,0.0026604663478017503+/-0,0.9784667775138512,29.0,1154.5215635161048+/-0,149.40670759566447,5.151955434333257,0.12941006241637024,143.65149174797344,0.0038669616878046287,0.2760865092854341,0.0003442911161256771,2.497130002421661,84.41957071329477,0.21240356011189906
20230727 12:25:36,4324.0,26.76542661971831,1150.6478873239437,5642.429577464791,6.98754,26.5946987,75.3,48.7,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.51777777778,mp,0.029845600538858597+/-0,2.015982955844485+/-0,0.0024822933146051544+/-0,0.9772676032258635,29.0,1154.4923007395996+/-0,145.99509251377785,5.034313534957857,0.1264582643125895,144.1573248052238,0.003774222841510944,0.25493770547985733,0.0003139065040797125,2.500904225263172,84.67450841877464,0.2127174666159788
20230727 12:25:40,4328.0,26.63950661971831,1104.6478873239437,4967.429577464791,6.83768,26.5984974,75.4,48.4,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.517824074075,mp,0.029704813172078744+/-0,1.9353645155289452+/-0,0.002185338259277495+/-0,0.9764520432541433,29.0,1154.477669907616+/-0,144.42013223131752,4.980004559700604,0.12509564801099562,144.65770739726779,0.003715942852806749,0.24210567820758,0.00027337630566753944,2.5046201681159785,84.91661409698222,0.21299084292164633
20230727 12:25:44,4332.0,26.04138661971831,1041.6478873239437,6047.429577464791,7.34314,26.5984974,75.3,48.4,27.4,65536.0,1664614.4,3.9,3.7,3.4,2.9,19565.51787037037,mp,0.029037869782018635+/-0,1.8249872940835679+/-0,0.0026604663478017503+/-0,0.9756095829983091,29.0,1154.477669907616+/-0,149.66293450200544,5.16079084489674,0.12963692447510208,145.1762550951682,0.003764380131849399,0.2365857400111324,0.0003448946749985262,2.508384548247828,85.15319983699335,0.21333573759664484
20230727 12:25:48,4336.0,25.45900661971831,978.6478873239437,6182.429577464791,7.188199999999999,26.6022961,75.4,48.5,27.4,65536.0,1664614.4,4.0,3.7,3.4,2.9,19565.517916666668,mp,0.028388117772389157+/-0,1.7145883437327982+/-0,0.0027198573588672822+/-0,0.9746451231703755,29.0,1154.4630394464593+/-0,148.07463691459236,5.10602196257215,0.1282627783264426,145.68930620847397,0.0036411388569448956,0.21991786465330224,0.00034885646149993786,2.512025687104773,85.37311770164665,0.21368459405814477
20230727 12:25:52,4340.0,25.00254661971831,939.6478873239437,4427.429577464791,7.21614,26.5984974,75.5,48.7,27.4,65536.0,1664614.4,4.0,3.7,3.4,2.9,19565.517962962964,mp,0.027879494420335278+/-0,1.646281316505337+/-0,0.0019477742150153675+/-0,0.9740812363318976,29.0,1154.477669907616+/-0,148.36307546769817,5.115968119575799,0.12851099621491208,146.20335019333362,0.0035828216019253693,0.21156525203409782,0.0002503104047733432,2.5156085087066984,85.58468295368074,0.2139349044629181
20230727 12:25:56,4344.0,24.86088661971831,932.6478873239437,5102.429577464791,6.9469,26.5946987,75.6,48.7,27.4,65536.0,1664614.4,3.9,3.7,3.4,2.9,19565.51800925926,mp,0.027721885462021312+/-0,1.6340378888820764+/-0,0.002244729270343027+/-0,0.9740358654706375,29.0,1154.4923007395996+/-0,145.56991478527777,5.019652233975096,0.1260899831831028,146.70771012606602,0.003495452071710169,0.2060358099296938,0.0002830378759481709,2.5191039607784087,85.79071876361043,0.21421794233886626
20230727 12:26:00,4348.0,24.37294661971831,918.6478873239437,4562.429577464791,7.086600000000001,26.590899999999998,75.8,48.7,27.4,65536.0,1664614.4,3.9,3.7,3.4,2.9,19565.518055555556,mp,0.027178137601359054+/-0,1.6095297043602959+/-0,0.0020071652260808992+/-0,0.9741543922017163,29.0,1154.5069319424244+/-0,147.02724382779985,5.069904959579305,0.12735068084903636,147.21711284946215,0.0034611543277418715,0.20497470369703188,0.0002556138581179125,2.5225651151061506,85.99569346730746,0.2144735561969842
