time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 11:53:52,2420.0,25.60066661971831,1283.6478873239437,4427.429577464791,6.9469,25.983107999999998,91.8,57.1,25.4,65536.0,1664614.4,3.8,3.5,3.3,2.9,19565.495740740742,hp,0.028605164760928316+/-0,2.2536026753937417+/-0,0.0019477742150153675+/-0,0.9804462899404356,29.0,1156.8527106556892+/-0,145.71865082307852,5.024781062864776,0.12596128226253372,196.56377814101424,0.0036031432326175746,0.28386668270287224,0.00024534413768123576,10.394446758318214,471.73506179379,0.7647370459406171
20230727 11:53:56,2424.0,27.69408661971831,1317.6478873239437,7397.429577464791,7.167879999999999,25.9907054,91.7,57.4,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.495787037038,hp,0.030943482947217105+/-0,2.313235130095413+/-0,0.003254376458457069+/-0,0.9794148349222039,29.0,1156.8233295897717+/-0,148.0162734279841,5.1040094285511755,0.12795062966137885,197.07558065965975,0.0039592381270125675,0.29597989145052966,0.0004163995170147501,10.410283710826263,472.9189813595921,0.7664026440086761
20230727 11:54:00,2428.0,29.36252661971831,1351.6478873239437,7262.429577464791,7.711439999999999,26.0059002,91.6,57.8,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.495833333334,hp,0.03280601759719243+/-0,2.3728042942940437+/-0,0.003194985447391537+/-0,0.9787383742198804,29.0,1156.764571934928+/-0,153.52206914084567,5.29386445313261,0.13271677994429606,197.60644777943693,0.004353909018295292,0.31491094537670333,0.00042402818054669095,10.427699346899445,474.17862514109896,0.7680987567308628
20230727 11:54:04,2432.0,31.28280661971831,1370.6478873239437,5237.429577464791,7.25678,26.017296299999998,91.7,57.6,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.49587962963,hp,0.034950167079782116+/-0,2.4060669463572295+/-0,0.0023041202814085586+/-0,0.9776859107551751,29.0,1156.7205076107145+/-0,148.9247157338624,5.1353350253056,0.1287473635627647,198.121437233688,0.004499741867600078,0.3097747758990053,0.0002966494115628474,10.445698314369846,475.41772424469497,0.7692853543771142
20230727 11:54:08,2436.0,33.87990661971831,1387.6478873239437,6587.429577464791,7.302499999999999,26.0286924,91.8,57.4,25.5,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.495925925927,hp,0.037850289687662596+/-0,2.4358163519437457+/-0,0.0028980303920638777+/-0,0.9761665535038698,29.0,1156.6764466434342+/-0,149.39027012245748,5.151388624912327,0.12915476108809332,198.63805627804038,0.004888545121725185,0.3145972789897655,0.0003742944229130435,10.465252494856747,476.676113360654,0.7707825320687663
20230727 11:54:12,2440.0,35.48538661971831,1397.6478873239437,4967.429577464791,7.37108,26.032491099999998,91.9,57.4,25.5,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.495972222223,hp,0.03964341238161663+/-0,2.453338763883367+/-0,0.002185338259277495+/-0,0.9752392975134333,29.0,1156.6617604002597+/-0,150.08916274832194,5.175488370631791,0.12976063347714026,199.15709881194894,0.005144154303834079,0.3183467921355299,0.00028357087688567873,10.485829112072084,477.94950052919614,0.7719168155763091
20230727 11:54:16,2444.0,36.41404661971831,1425.6478873239437,4292.429577464791,7.15264,26.047685899999998,92.0,57.4,25.5,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.49601851852,hp,0.04067882280154801+/-0,2.5023610247853414+/-0,0.0018883832039498355+/-0,0.9750940464461052,29.0,1156.603019156777+/-0,147.84475706869264,5.098095071334229,0.12782670857670686,199.66840564625576,0.005199840027496976,0.31986857346894537,0.0002413858094924436,10.506628472182072,479.22897482307195,0.7728823588142789
20230727 11:54:20,2448.0,36.901986619718315,1430.6478873239437,4157.429577464791,6.9342,26.0514846,92.2,57.0,25.5,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.496064814815,hp,0.04122338645512724+/-0,2.511105367011948+/-0,0.0018289921928843036+/-0,0.9748546967466571,29.0,1156.5883347781391+/-0,145.56875556932482,5.019612261011201,0.125860473594737,200.1718475406347,0.005188394942421182,0.3160489107384097,0.00023019782359749502,10.527382051951758,480.4931704660256,0.7738031501086688
20230727 11:54:24,2452.0,36.82328661971832,1447.6478873239437,4022.429577464791,7.475219999999999,26.0628807,92.6,57.2,25.5,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.49611111111,hp,0.04113390358343991+/-0,2.540847372816933+/-0,0.0017696011818187716+/-0,0.9751943404048101,29.0,1156.5442838793572+/-0,151.13801229108591,5.211655596244342,0.13068069627574383,200.6945703257377,0.0053754071608232415,0.3320397038101113,0.00023125271457045623,10.54888368059505,481.82132928126606,0.7747281609669506
20230727 11:54:28,2456.0,37.264006619718316,1427.6478873239437,4967.429577464791,7.58952,26.066679399999998,92.5,57.2,25.5,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.496157407408,hp,0.04162568679553862+/-0,2.5057124481279067+/-0,0.002185338259277495+/-0,0.974562288166423,29.0,1156.529600992093+/-0,152.28815142823578,5.251315566490889,0.1316768297997735,201.22127764493678,0.005481138475474818,0.32994427155931216,0.000287758414021816,10.57080823449695,483.1411063675033,0.7758791946230379
