sep=,

firmware launcher:,6.89
firmware GUI,6.30

Household ID:,21
Sensor ID:,4001
Sensor Type:,FUELv2 
Start time:,2023-03-21 16:52:00
Stop time:,2023-03-24 07:06:20
Total number of logs:,56015
Study arm:,0

Fuel type:,
Fuel calibration value:,52.20
Fuel resolution (gram):,1.00

Timestamp,Battery level (%),Temperature (C), kg (FUEL 4001)
2023-03-22 16:07:52,83,16.38,1.334359
2023-03-22 16:07:56,83,16.38,1.334503
2023-03-22 16:08:00,83,16.38,1.334065
2023-03-22 16:08:04,83,16.38,1.334145
2023-03-22 16:08:08,82,16.38,1.334145
2023-03-22 16:08:12,83,16.38,1.334369
2023-03-22 16:08:16,82,16.38,1.334369
2023-03-22 16:08:20,83,16.38,1.334369
2023-03-22 16:08:24,83,16.38,1.334369
2023-03-22 16:08:28,83,16.38,1.333628
2023-03-22 16:08:32,83,16.38,1.333628
2023-03-22 16:08:36,83,16.38,1.333628
2023-03-22 16:08:40,83,16.38,1.334219
2023-03-22 16:08:44,83,16.38,1.334219
2023-03-22 16:08:48,83,16.38,1.334219
2023-03-22 16:08:52,83,16.38,1.333791
2023-03-22 16:08:56,83,16.38,1.333791
2023-03-22 16:09:00,83,16.38,1.333743
2023-03-22 16:09:04,83,16.38,1.333791
2023-03-22 16:09:08,83,16.38,1.334130
2023-03-22 16:09:12,83,16.38,1.334656
2023-03-22 16:09:16,83,16.38,1.334656
2023-03-22 16:09:20,83,16.38,1.334656
2023-03-22 16:09:24,83,16.38,1.334918
2023-03-22 16:09:28,83,16.38,1.334918
2023-03-22 16:09:32,83,16.38,1.334480
2023-03-22 16:09:36,83,16.38,1.334350
2023-03-22 16:09:40,82,16.38,1.334350
2023-03-22 16:09:44,83,16.38,1.334350
2023-03-22 16:09:48,82,16.38,1.334034
2023-03-22 16:09:52,83,16.38,1.333957
2023-03-22 16:09:56,83,16.38,1.333886
2023-03-22 16:10:00,82,16.38,1.333886
2023-03-22 16:10:04,83,16.38,1.333886
2023-03-22 16:10:08,83,16.38,1.333874
2023-03-22 16:10:12,83,16.38,1.333886
2023-03-22 16:10:16,83,16.38,1.333903
2023-03-22 16:10:20,83,16.38,1.334302
2023-03-22 16:10:24,83,16.38,1.333903
2023-03-22 16:10:28,83,16.38,1.333903
2023-03-22 16:10:32,83,16.38,1.334247
2023-03-22 16:10:36,83,16.38,1.334247
2023-03-22 16:10:40,83,16.38,1.333577
2023-03-22 16:10:44,83,16.38,1.334247
2023-03-22 16:10:48,83,16.38,1.334247
2023-03-22 16:10:52,83,16.38,1.334583
2023-03-22 16:10:56,83,16.38,1.333979
2023-03-22 16:11:00,83,16.38,1.334583
2023-03-22 16:11:04,82,16.38,1.334496
2023-03-22 16:11:08,83,16.38,1.334496
2023-03-22 16:11:12,83,16.38,1.334423
2023-03-22 16:11:16,83,16.38,1.334423
2023-03-22 16:11:20,83,16.38,1.334097
2023-03-22 16:11:24,83,16.38,1.333982
2023-03-22 16:11:28,83,16.38,1.333982
2023-03-22 16:11:32,83,16.38,1.333794
2023-03-22 16:11:36,82,16.38,1.333982
2023-03-22 16:11:40,83,16.38,1.333982
2023-03-22 16:11:44,83,16.38,1.334532
2023-03-22 16:11:48,83,16.38,1.334097
2023-03-22 16:11:52,83,16.38,1.334966
2023-03-22 16:11:56,82,16.38,1.334097
2023-03-22 16:12:00,82,16.38,1.334097
2023-03-22 16:12:04,83,16.38,1.334097
2023-03-22 16:12:08,83,16.38,1.334043
2023-03-22 16:12:12,83,16.38,1.333998
2023-03-22 16:12:16,83,16.38,1.333682
2023-03-22 16:12:20,83,16.38,1.333079
2023-03-22 16:12:24,83,16.38,1.333079
2023-03-22 16:12:28,83,16.38,1.333079
2023-03-22 16:12:32,83,16.38,1.333481
2023-03-22 16:12:36,83,16.38,1.333721
2023-03-22 16:12:40,83,16.38,1.333721
2023-03-22 16:12:44,83,16.38,1.333733
2023-03-22 16:12:48,83,16.38,1.334225
2023-03-22 16:12:52,83,16.38,1.334446
2023-03-22 16:12:56,83,16.38,1.334254
2023-03-22 16:13:00,83,16.38,1.334429
2023-03-22 16:13:04,83,16.38,1.334446
2023-03-22 16:13:08,83,16.38,1.334429
2023-03-22 16:13:12,83,16.38,1.334254
2023-03-22 16:13:16,83,16.38,1.334037
2023-03-22 16:13:20,83,16.38,1.334018
2023-03-22 16:13:24,82,16.38,1.333995
2023-03-22 16:13:28,83,16.38,1.333385
2023-03-22 16:13:32,83,16.38,1.333385
2023-03-22 16:13:36,83,16.38,1.333385
2023-03-22 16:13:40,83,16.38,1.333880
2023-03-22 16:13:44,82,16.38,1.333880
2023-03-22 16:13:48,83,16.38,1.334072
2023-03-22 16:13:52,83,16.38,1.333880
2023-03-22 16:13:56,82,16.38,1.334072
2023-03-22 16:14:00,83,16.38,1.333708
2023-03-22 16:14:04,83,16.38,1.334072
2023-03-22 16:14:08,83,16.38,1.334228
2023-03-22 16:14:12,83,16.38,1.334407
2023-03-22 16:14:16,83,16.38,1.334407
2023-03-22 16:14:20,83,16.38,1.334407
2023-03-22 16:14:24,83,16.38,1.334407
2023-03-22 16:14:28,82,16.38,1.333139
2023-03-22 16:14:32,83,16.38,1.333139
2023-03-22 16:14:36,83,16.38,1.333139
2023-03-22 16:14:40,83,16.38,1.333500
2023-03-22 16:14:44,83,16.38,1.333953
2023-03-22 16:14:48,83,16.38,1.334707
2023-03-22 16:14:52,83,16.38,1.334707
2023-03-22 16:14:56,83,16.38,1.334707
2023-03-22 16:15:00,83,16.38,1.334544
2023-03-22 16:15:04,83,16.38,1.333973
2023-03-22 16:15:08,83,16.38,1.333973
2023-03-22 16:15:12,83,16.38,1.334091
2023-03-22 16:15:16,83,16.38,1.334503
2023-03-22 16:15:20,83,16.38,1.334503
2023-03-22 16:15:24,82,16.38,1.334503
2023-03-22 16:15:28,82,16.38,1.334513
2023-03-22 16:15:32,82,16.38,1.334647
2023-03-22 16:15:36,82,16.38,1.334647
2023-03-22 16:15:40,83,16.38,1.334078
2023-03-22 16:15:44,83,16.38,1.334078
2023-03-22 16:15:48,83,16.38,1.333408
2023-03-22 16:15:52,83,16.38,1.333264
2023-03-22 16:15:56,83,16.38,1.333264
2023-03-22 16:16:00,83,16.38,1.333264
2023-03-22 16:16:04,83,16.38,1.333369
2023-03-22 16:16:08,83,16.38,1.333810
