time,Battery level,Temperature,firewood,seconds
yyyymmdd hhmmss,%,C,kg,s
2023-03-22 00:51:24,83.0,23.31,1.411023,19520
2023-03-22 00:51:28,83.0,23.31,1.410822,19524
2023-03-22 00:51:32,83.0,23.31,1.410822,19528
2023-03-22 00:51:36,83.0,23.31,1.410678,19532
2023-03-22 00:51:40,83.0,23.31,1.410588,19536
2023-03-22 00:51:44,83.0,23.31,1.410511,19540
2023-03-22 00:51:48,83.0,23.31,1.410506,19544
2023-03-22 00:51:52,83.0,23.31,1.410506,19548
2023-03-22 00:51:56,83.0,23.31,1.410511,19552
2023-03-22 00:52:00,83.0,23.31,1.410511,19556
2023-03-22 00:52:04,83.0,23.31,1.410614,19560
2023-03-22 00:52:08,83.0,23.31,1.410975,19564
2023-03-22 00:52:12,83.0,23.31,1.410975,19568
2023-03-22 00:52:16,83.0,23.31,1.411208,19572
2023-03-22 00:52:20,83.0,23.31,1.411208,19576
2023-03-22 00:52:24,83.0,23.31,1.411067,19580
2023-03-22 00:52:28,83.0,23.31,1.410614,19584
2023-03-22 00:52:32,83.0,23.31,1.411067,19588
2023-03-22 00:52:36,83.0,23.31,1.410614,19592
2023-03-22 00:52:40,83.0,23.31,1.410614,19596
2023-03-22 00:52:44,83.0,23.31,1.410531,19600
2023-03-22 00:52:48,83.0,23.31,1.410831,19604
2023-03-22 00:52:52,83.0,23.31,1.410416,19608
2023-03-22 00:52:56,83.0,23.31,1.410416,19612
2023-03-22 00:53:00,83.0,23.31,1.41019,19616
2023-03-22 00:53:04,83.0,23.31,1.41019,19620
2023-03-22 00:53:08,83.0,23.31,1.41019,19624
2023-03-22 00:53:12,83.0,23.31,1.41019,19628
2023-03-22 00:53:16,83.0,23.31,1.410923,19632
2023-03-22 00:53:20,83.0,23.31,1.410923,19636
2023-03-22 00:53:24,83.0,23.31,1.410164,19640
2023-03-22 00:53:28,83.0,23.31,1.410164,19644
2023-03-22 00:53:32,83.0,23.31,1.410473,19648
2023-03-22 00:53:36,83.0,23.31,1.410164,19652
2023-03-22 00:53:40,83.0,23.31,1.410164,19656
2023-03-22 00:53:44,83.0,23.31,1.410473,19660
2023-03-22 00:53:48,83.0,23.31,1.410473,19664
2023-03-22 00:53:52,83.0,23.31,1.410655,19668
2023-03-22 00:53:56,83.0,23.31,1.410655,19672
2023-03-22 00:54:00,83.0,23.31,1.410655,19676
2023-03-22 00:54:04,83.0,23.31,1.410655,19680
2023-03-22 00:54:08,83.0,23.31,1.410138,19684
2023-03-22 00:54:12,83.0,23.31,1.410017,19688
2023-03-22 00:54:16,83.0,23.31,1.410017,19692
2023-03-22 00:54:20,83.0,23.31,1.4101,19696
2023-03-22 00:54:24,83.0,23.31,1.4101,19700
2023-03-22 00:54:28,83.0,23.31,1.410646,19704
2023-03-22 00:54:32,83.0,23.31,1.410646,19708
2023-03-22 00:54:36,83.0,23.31,1.410646,19712
2023-03-22 00:54:40,83.0,23.31,1.410566,19716
2023-03-22 00:54:44,83.0,23.31,1.410343,19720
2023-03-22 00:54:48,83.0,23.31,1.410161,19724
2023-03-22 00:54:52,83.0,23.31,1.410161,19728
2023-03-22 00:54:56,83.0,23.31,1.410161,19732
2023-03-22 00:55:00,83.0,23.31,1.410186,19736
