time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text
20230605 16:59:19,20881.0,-3.8101534763948495,32.2368,-1.5189690987124462,10471.0,27.5904,46.0,2710.312,-4.104,154.00536480686696,36.0,19513.707858796297,postbkg
20230605 16:59:21,20883.0,-3.8788234763948495,32.25216,-1.5865690987124461,10472.0,27.54432,46.0,2710.7300000000005,-4.56,131.00536480686696,36.0,19513.707881944443,postbkg
20230605 16:59:23,20885.0,-3.9474934763948495,32.24832,-1.5865690987124461,10340.0,27.55968,46.1,2708.222,-5.928,139.00536480686696,36.0,19513.707905092593,postbkg
20230605 16:59:25,20887.0,-4.1535034763948495,32.24832,-1.4513690987124461,10651.0,27.55584,46.1,2710.7300000000005,-4.56,109.00536480686696,36.0,19513.70792824074,postbkg
20230605 16:59:27,20889.0,-4.32517847639485,32.256,-1.5865690987124461,10465.0,27.55584,46.1,2705.714,-5.016000000000001,131.00536480686696,36.0,19513.70795138889,postbkg
20230605 16:59:29,20891.0,-4.32517847639485,32.26752,-1.5865690987124461,10332.0,27.55968,46.2,2709.8940000000002,-5.472,134.00536480686696,36.0,19513.707974537036,postbkg
20230605 16:59:31,20893.0,-4.49685347639485,32.24448,-1.5189690987124462,10468.0,27.56736,46.2,2710.7300000000005,1.368,142.00536480686696,36.0,19513.707997685186,postbkg
20230605 16:59:33,20895.0,-4.70286347639485,32.25216,-1.4513690987124461,10483.0,27.57504,46.2,2713.6560000000004,-11.856,131.00536480686696,36.0,19513.708020833332,postbkg
20230605 16:59:35,20897.0,-4.77153347639485,32.2176,-1.4513690987124461,10452.0,27.56352,46.2,2712.82,-3.192,129.00536480686696,36.0,19513.70804398148,postbkg
20230605 16:59:37,20899.0,-4.90887347639485,32.209920000000004,-1.5189690987124462,10475.0,27.5328,46.300000000000004,2715.328,-7.296,131.00536480686696,36.0,19513.708067129628,postbkg
20230605 16:59:39,20901.0,-4.94320847639485,32.22912,-1.5189690987124462,10481.0,27.55584,46.300000000000004,2714.074,-5.928,139.00536480686696,36.0,19513.708090277778,postbkg
20230605 16:59:41,20903.0,-4.94320847639485,32.24064,-1.5865690987124461,10335.0,27.56736,46.300000000000004,2711.9840000000004,-0.912,128.00536480686696,36.0,19513.708113425924,postbkg
20230605 16:59:43,20905.0,-5.14921847639485,32.23296,-1.4513690987124461,10472.0,27.536640000000002,46.300000000000004,2709.476,-5.928,116.00536480686696,36.0,19513.708136574074,postbkg
20230605 16:59:45,20907.0,-5.08054847639485,32.2368,-1.5865690987124461,10467.0,27.536640000000002,46.2,2712.402,-3.192,99.00536480686696,36.0,19513.70815972222,postbkg
